Name,Type,County,Government,Population,Area_Total_sq_mi,Area_Land_sq_mi,Year_Incorporated
Petersham,Town,Worcester,Open town meeting,1194,68.3,54.2,1754
Worthington,Town,Hampshire,Open town meeting,1193,32.1,31.9,1768
Chesterfield,Town,Hampshire,Open town meeting,1186,31.2,30.8,1762
Charlemont,Town,Franklin,Open town meeting,1185,26.4,25.9,1765
Monterey,Town,Berkshire,Open town meeting,1095,27.4,26.4,1847
New Braintree,Town,Worcester,Open town meeting,996,20.9,20.7,1775
Sandisfield,Town,Berkshire,Open town meeting,989,53.0,51.8,1762
New Salem,Town,Franklin,Open town meeting,983,58.6,44.8,1775
Goshen,Town,Hampshire,Open town meeting,970,17.7,17.4,1781
Wendell,Town,Franklin,Open town meeting,924,32.2,31.9,1781
Windsor,Town,Berkshire,Open town meeting,831,35.2,35.0,1771
Cummington,Town,Hampshire,Open town meeting,829,23.1,22.9,1779
Montgomery,Town,Hampden,Open town meeting,819,15.2,15.1,1780
Peru,Town,Berkshire,Open town meeting,814,26.0,25.9,1771
Warwick,Town,Franklin,Open town meeting,780,37.6,37.3,1763
Hancock,Town,Berkshire,Open town meeting,757,35.8,35.7,1776
Leyden,Town,Franklin,Open town meeting,734,18.0,17.9,1809
Heath,Town,Franklin,Open town meeting,723,24.9,24.9,1785
Florida,Town,Berkshire,Open town meeting,694,24.6,24.4,1805
Savoy,Town,Berkshire,Open town meeting,645,36.0,35.8,1797
Plainfield,Town,Hampshire,Open town meeting,633,21.3,21.1,1807
Washington,Town,Berkshire,Open town meeting,494,38.8,38.0,1777
Alford,Town,Berkshire,Open town meeting,486,11.5,11.5,1773
Tolland,Town,Hampden,Open town meeting,471,32.8,31.5,1810
Aquinnah,Town,Dukes,Open town meeting,439,40.8,5.4,1870
Tyringham,Town,Berkshire,Open town meeting,427,18.9,18.6,1762
Rowe,Town,Franklin,Open town meeting,424,24.0,23.4,1785
Middlefield,Town,Hampshire,Open town meeting,385,24.2,24.2,1783
Hawley,Town,Franklin,Open town meeting,353,30.9,30.9,1792
New Ashford,Town,Berkshire,Open town meeting,250,13.5,13.4,1835
Mount Washington,Town,Berkshire,Open town meeting,160,22.4,22.2,1779
Monroe,Town,Franklin,Open town meeting,118,10.8,10.7,1822
Gosnold,Town,Dukes,Open town meeting,70,140.2,13.2,1864
